,id,name,author,title,description,url,urlToImage,publishedAt,content
0,,Variety,Jem Aswad,"‘The Beatles: Get Back’ Film, Directed by Peter Jackson, to Debut on Disney+ Over Thanksgiving",The Beatles’ film “Get Back” — a Peter Jackson-directed documentary culled from the footage from the 1970 “Let It Be” film — will premiere as a Disney+ original documentary series over the Thanksgiving holidays. Because of the wealth of tremendous footage Pet…,https://variety.com/2021/film/news/the-beatles-get-back-peter-jackson-disney-1234999072/,https://variety.com/wp-content/uploads/2020/12/Press_03.jpeg?w=1024,2021-06-17T13:23:23Z,The Beatles’ film “Get Back” — a Peter Jackson-directed documentary culled from the footage from the 1970 “Let It Be” film — will premiere as a Disney+ original documentary series over the Thanksgivi… [+2973 chars]
1,,Cult of Mac,Luke Dormehl,South Korea could get 400 mini Apple Stores inside LG retail outlets,"LG Electronics threw in the towel on manufacturing smartphones earlier this year. Now, according to a new report, it’s considering stocking Apple products in its 400 LG Best Shops stores in South Korea. Apple and LG are supposedly negotiating for an Apple sto…",https://www.cultofmac.com/?p=745373,https://cdn.cultofmac.com/wp-content/uploads/2020/03/Apple.logo_.paris_.store_.jpg,2021-06-17T13:21:51Z,"LG Electronics threw in the towel on manufacturing smartphones earlier this year. Now, according to a new report, its considering stocking Apple products in its 400 LG Best Shops stores in South Kore… [+1749 chars]"
2,politico,Politico,"By Jeremy B. White, Carla Marinucci and Richard Tzul","NEWSOM, unmasked — KAMALA’s voting fight — DOE shift on TRANSGENDER students — BAKERSFIELD PD under scrutiny",,https://www.politico.com/newsletters/california-playbook/2021/06/17/kamalas-voting-fight-doe-shift-on-transgender-students-bakersfield-pd-under-scrutiny-493284,https://static.politico.com/da/f5/44342c424c68b675719324b1106b/politico.jpg,2021-06-17T13:21:36Z,"Presented by Facebook
THE BUZZ: For the second time this week, the masks are poised to come off.
The grand reopening Gov. Gavin Newsom had been trumpeting for months stumbled into uncertain territo… [+18938 chars]"
3,,Everyeye.it,https://www.facebook.com/effesantin/,"Apple, Tim Cook lancia la frecciatina ad Android: ha 47 volte i malware di iOS","Apple continua la sottile offensiva nei confronti di Android e dei suoi utenti: in seguito alla introduzione di un metodo più semplice per trasferire dati da smartphone del robottino verde ad iPhone, ora Tim Cook ha voluto parlare della sicurezza del sistema …",https://tech.everyeye.it/notizie/apple-tim-cook-lancia-frecciatina-android-47-malware-ios-524480.html,https://images.everyeye.it/img-notizie/apple-tim-cook-lancia-frecciatina-android-47-malware-ios-v3-524480.jpg,2021-06-17T13:21:14Z,"Apple continua la sottile offensiva nei confronti di Android e dei suoi utenti: in seguito alla introduzione di un metodo più semplice per trasferire dati da smartphone del robottino verde ad iPhone,… [+2023 chars]"
4,,BGR,Andy Meek,This is the reason Apple CEO Tim Cook says iPhones are better than Android,"I’m sure, if you pressed Apple CEO Tim Cook about what he thinks makes his company’s mobile operating software better than its major competitor’s, he could offer a whole host of answers to the age-old question of iOS vs Android, of which OS is superior. Durin…",https://bgr.com/tech/ios-vs-android-tim-cook-comments-viva-tech-fireside-chat-5932693/,https://bgr.com/wp-content/uploads/2020/10/apple-iphone-12-event-33.jpg?quality=70&strip=all,2021-06-17T13:20:39Z,"I’m sure, if you pressed Apple CEO Tim Cook about what he thinks makes his company’s mobile operating software better than its major competitor’s, he could offer a whole host of answers to the age-ol… [+3841 chars]"
5,,TODAY,Gina Vivinetto,Gwyneth Paltrow says daughter Apple has never seen her movies,"Gwyneth Paltrow talked about whether her kids, Apple and Moses, have seen her movies on the premiere episode of ""Shop TODAY with Jill Martin.”",https://www.today.com/parents/gwyneth-paltrow-says-daughter-apple-has-never-seen-her-movies-t222392,"https://media-cldnry.s-nbcnews.com/image/upload/t_social_share_1200x630_center,f_auto,q_auto:best/newscms/2021_24/1734237/gwyneth-paltrow-jill-martin-mc-main-210616-02.jpg",2021-06-17T13:15:17Z,"Gwyneth Paltrow may be one of Hollywood's most recognizable A-listers, but don't expect her teenage children daughter Apple, 17, and son Moses, 15 to know any of her movies.
During an appearance on … [+1867 chars]"
6,,Cdm.link,Peter Kirn,Hammerhead for iOS brings back a 90s drum computer legend for a new generation,"In time for its 25th anniversary, Hammerhead is back - and this version has a real bite, even if you're using it for the first time.
The post Hammerhead for iOS brings back a 90s drum computer legend for a new generation appeared first on CDM Create Digital M…",https://cdm.link/2021/06/hammerhead-for-ios-brings-back-a-90s-drum-computer-legend-for-a-new-generation/,https://cdm.link/app/uploads/2021/06/hammerhead-scaled.jpg,2021-06-17T13:15:16Z,"In time for its 25th anniversary, Hammerhead is back – and this version has a real bite, even if you’re using it for the first time.
So yes, if you came up in 90s production, Hammerhead for iOS is t… [+4818 chars]"
7,,The Times of Israel,,Tech That! Gadget of the month: OnePlus 9 Pro –  ✡✡✡✡,"This device with four powerful cameras is the company’s best attempt to compete with the likes of Samsung, Google and Apple. Daniel Elias finds out its major pros and cons",https://jewishnews.timesofisrael.com/tech-that-gadget-of-the-month-oneplus-9-pro-4-stars/,https://static.timesofisrael.com/jewishndev/uploads/2021/06/OnePlus9Pro_1-1024x640.jpg,2021-06-17T13:15:11Z,Thank you for helping to make Jewish News the leading source of news and opinion for the UK Jewish community. Today we're asking for your invaluable help to continue putting our community first in ev… [+2382 chars]
8,,The A.V. Club,Danette Chavez,Lisey’s Story gets a little more complicated in this exclusive clip,"Pablo Larraín’s adaptation of Lisey’s Story, a novel dubbed the most personal of Stephen King’s stories by the author himself, translates much of the abiding intimacy of the book. As Lisey Landon (Julianne Moore) grieves her husband Scott (Clive Owen), a prom…",https://www.avclub.com/lisey-s-story-gets-a-little-more-complicated-in-this-ex-1847119622,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/f98d9dd03626a9756dd69fc5f1a1509e.jpg",2021-06-17T13:15:00Z,"Pablo Larraíns adaptation of Liseys Story, a novel dubbed the most personal of Stephen Kings stories by the author himself, translates much of the abiding intimacy of the book. As Lisey Landon (Julia… [+1758 chars]"
9,,9to5Mac,José Adorno,"Pokémon UNITE for iOS receives release date, more","Announced last year, the new MOBA Pokémon UNITE has finally received a release date for iOS and Android users. Developed by TiMi Studios and published by The Pokémon Company, Pokémon UNITE plans to be the next hit following Pokémon GO’s success and it will be…",https://9to5mac.com/2021/06/17/pokemon-unite-for-ios-receives-release-date-more/,https://i1.wp.com/9to5mac.com/wp-content/uploads/sites/6/2021/06/pokemon-unite-ios-9to5mac.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2021-06-17T13:14:19Z,"Announced last year, the new MOBA Pokémon UNITE has finally received a release date for iOS and Android users. Developed by TiMi Studios and published by The Pokémon Company, Pokémon UNITE plans to b… [+4824 chars]"
